AcademicYear,GPA,Interest_AcademicWorkshop,Interest_CareerDev,Interest_SocialActivities,Interest_Sports,Interest_CulturalPrograms,Interest_TechMeetups,ParticipatedBefore,EventTypesAttended,EventAttendanceFrequency,Hypo_TechWorkshop,Hypo_ResumeWorkshop,Hypo_CulturalNight,Hypo_SportsTournament,Hypo_SocialCampaign,Personality,Motivation,FreeDays,PreferredTime,InterestTopics,SkillsToDevelop,Feedback,Recommended Event
20/21,2.69,5.0,5.0,5.0,1.0,3.0,5.0,Yes,"Tech Meetups, Cultural Events, Career Development",Sometimes,5.0,2.0,4.0,1.0,4.0,"Creative, Logical thinker","Fun and Entertainment, Career Development, Learning New Skills",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Web/App Development","Communication, Creativity, Public Speaking",Plain format.,Tech Meetups
20/21,2.4,2.0,4.0,5.0,5.0,4.0,2.0,Yes,"Sports, ",Sometimes,2.0,1.0,5.0,4.0,2.0,"Creative, Logical thinker","Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Evening (4pm-8pm),"Health and Wellbeing, Designing / Creativity","Soft Skills, Communication",Boring to answer.,Social Engaging 
20/21,3.86,4.0,5.0,3.0,5.0,4.0,4.0,No,"Academic Workshops, Career Development, None",Always,4.0,4.0,3.0,4.0,2.0,"Creative, Logical thinker","Fun and Entertainment, Relaxation/Stress Relief",Weekends,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Public Speaking",Easy to understand.,Hackathon
20/21,3.55,4.0,2.0,3.0,4.0,3.0,4.0,Yes,"Tech Meetups, Academic Workshops, Sports",Sometimes,3.0,5.0,3.0,5.0,2.0,"Curious and eager to learn, Logical thinker",Relaxation/Stress Relief,Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Creativity, Leadership",No suggestion,Hackathon
20/21,2.44,2.0,5.0,2.0,2.0,3.0,4.0,Yes,"Cultural Events, Career Development",Often,1.0,1.0,3.0,1.0,3.0,"Curious and eager to learn, Logical thinker",Meeting New People,Any day,Night (After 8pm),"Designing / Creativity, Web/App Development, Environmental & Social Impact, Health and Wellbeing","Creativity, Public Speaking",Too short.,Career Development
20/21,3.28,3.0,5.0,3.0,5.0,1.0,4.0,Yes,"Academic Workshops, Career Development",Sometimes,3.0,4.0,3.0,3.0,3.0,Logical thinker,Meeting New People,Weekdays,Evening (4pm-8pm),"Health and Wellbeing, Designing / Creativity, Public Speaking / Soft Skill, Web/App Development","Soft Skills, Communication, Creativity, AI",Too straightforward.,Career Development
21/22,3.8,5.0,5.0,5.0,1.0,3.0,5.0,Yes,"Tech Meetups, Cultural Events, Career Development",Sometimes,5.0,2.0,4.0,1.0,4.0,"Creative, Logical thinker","Fun and Entertainment, Career Development, Learning New Skills",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Web/App Development","Communication, Creativity, Public Speaking",Needed more Q&A.,Hackathon
20/21,3.91,5.0,2.0,5.0,2.0,2.0,3.0,Yes,"Academic Workshops, Sports, Cultural Events",Sometimes,5.0,3.0,2.0,1.0,1.0,Outgoing,"Meeting New People, Fun and Entertainment",Weekdays,Afternoon (12pm-4pm),"Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","AI, Communication, Public Speaking, Soft Skills",Lacked detail.,Hackathon
21/22,3.54,2.0,1.0,2.0,4.0,3.0,5.0,No,Sports,Sometimes,3.0,1.0,1.0,3.0,4.0,"Team-oriented, Outgoing","Relaxation/Stress Relief, Learning New Skills",Weekends,Night (After 8pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Public Speaking / Soft Skill, Web/App Development","Soft Skills, Leadership, AI",Useful for academics.,Tech Meetups
20/21,2.36,5.0,5.0,5.0,1.0,3.0,5.0,Yes,"Tech Meetups, Cultural Events, Career Development",Sometimes,5.0,2.0,4.0,1.0,4.0,"Creative, Logical thinker","Fun and Entertainment, Career Development, Learning New Skills",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Web/App Development","Communication, Creativity, Public Speaking",best regarts ,Tech Meetups
22/23,2.69,4.0,3.0,2.0,1.0,4.0,3.0,No,Sports,Often,3.0,3.0,4.0,1.0,2.0,Curious and eager to learn,"Career Development, Fun and Entertainment, Meeting New People",Any day,Night (After 8pm),"Designing / Creativity, Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","Public Speaking, Communication",Questions too simple.,Hackathon
21/22,3.79,5.0,1.0,5.0,5.0,2.0,3.0,No,"None, Career Development, Cultural Events",Sometimes,1.0,2.0,3.0,2.0,2.0,"Creative, Outgoing, Logical thinker","Career Development, Relaxation/Stress Relief, Fun and Entertainment",Any day,Night (After 8pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Leadership, Soft Skills, Public Speaking, AI",Need more real-world cases.,Social Engaging Activities
20/21,2.58,4.0,2.0,2.0,4.0,5.0,5.0,No,"Career Development, Tech Meetups",Always,4.0,4.0,2.0,1.0,5.0,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",Not student-centered.,Career Development
21/22,2.55,3.0,1.0,5.0,2.0,1.0,2.0,No,"Social Service Activities, None",Never,2.0,3.0,3.0,3.0,4.0,"Curious and eager to learn, Outgoing","Fun and Entertainment, Learning New Skills, Meeting New People",Weekdays,Night (After 8pm),"Business / Entrepreneurship, Designing / Creativity, Health and Wellbeing","Leadership, AI",it will help many students ,Career Development
20/21,2.12,2.0,3.0,2.0,5.0,4.0,5.0,Yes,"Career Development, None, Sports",Rarely,2.0,4.0,5.0,4.0,4.0,Creative,"Relaxation/Stress Relief, Meeting New People",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Health and Wellbeing, Business / Entrepreneurship, Web/App Development","Communication, Leadership, Public Speaking, Creativity",Doesn’t cover hobbies.,leardership Programs
20/21,2.75,5.0,1.0,5.0,5.0,2.0,3.0,No,"None, Career Development, Cultural Events",Sometimes,1.0,2.0,3.0,2.0,2.0,"Creative, Outgoing, Logical thinker","Career Development, Relaxation/Stress Relief, Fun and Entertainment",Any day,Night (After 8pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Leadership, Soft Skills, Public Speaking, AI",Doesn’t ask about interests.,Social Engaging Activities
20/21,2.76,3.0,3.0,5.0,2.0,2.0,2.0,No,Tech Meetups,Never,3.0,4.0,5.0,4.0,5.0,"Creative, Team-oriented, Curious and eager to learn","Learning New Skills, Career Development, Fun and Entertainment",Any day,Evening (4pm-8pm),"Health and Wellbeing, Artificial Intelligence / Data Science","Creativity, Communication",Boring design.,Hackathon
20/21,3.54,2.0,3.0,2.0,1.0,4.0,1.0,Yes,"Cultural Events, Career Development",Often,1.0,1.0,3.0,1.0,3.0,"Curious and eager to learn, Logical thinker",Meeting New People,Any day,Night (After 8pm),"Designing / Creativity, Web/App Development, Environmental & Social Impact, Health and Wellbeing","Creativity, Public Speaking",Too formal.,Social Engaging Activities
20/21,3.3,5.0,2.0,2.0,1.0,1.0,4.0,No,"Tech Meetups, Academic Workshops, Cultural Events",Rarely,5.0,2.0,4.0,4.0,4.0,"Creative, Curious and eager to learn, Team-oriented","Learning New Skills, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Soft Skills, AI, Public Speaking",No suggestion,Hackathon
21/22,2.5,3.0,2.0,1.0,1.0,1.0,2.0,Yes,Social Service Activities,Sometimes,2.0,2.0,4.0,1.0,5.0,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Doesn’t match interests.,Tech Meetups
21/22,3.9,1.0,2.0,4.0,4.0,1.0,4.0,Yes,"Cultural Events, Career Development, Sports",Sometimes,3.0,1.0,3.0,3.0,1.0,"Creative, Outgoing","Fun and Entertainment, Meeting New People",Weekends,Morning (8am-12pm),"Artificial Intelligence / Data Science, Environmental & Social Impact, Web/App Development, Public Speaking / Soft Skill","Soft Skills, Creativity",Doesn’t cover cultural side.,Hackathon
20/21,2.99,3.0,1.0,4.0,2.0,2.0,3.0,No,"Social Service Activities, None",Rarely,3.0,2.0,3.0,1.0,4.0,"Curious and eager to learn, Outgoing, Team-oriented",Career Development,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",Too academic.,Career Development
22/23,3.45,4.0,5.0,3.0,3.0,4.0,4.0,No,"Academic Workshops, Career Development, None",Always,3.0,1.0,5.0,4.0,2.0,"Creative, Logical thinker","Fun and Entertainment, Relaxation/Stress Relief",Weekends,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Public Speaking",No suggestion,Hackathon
21/22,2.49,3.0,4.0,5.0,4.0,2.0,2.0,No,"Career Development, Sports, Cultural Events",Sometimes,4.0,5.0,4.0,4.0,3.0,"Outgoing, Team-oriented","Relaxation/Stress Relief, Career Development",Weekdays,Afternoon (12pm-4pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Designing / Creativity, Environmental & Social Impact","Creativity, Public Speaking, Leadership",i also need it... waiting,Hackathon
20/21,3.99,3.0,4.0,5.0,4.0,2.0,2.0,No,"Career Development, Sports, Cultural Events",Sometimes,4.0,5.0,4.0,4.0,3.0,"Outgoing, Team-oriented","Relaxation/Stress Relief, Career Development",Weekdays,Afternoon (12pm-4pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Designing / Creativity, Environmental & Social Impact","Creativity, Public Speaking, Leadership",No suggestion,Hackathon
21/22,3.29,2.0,2.0,2.0,3.0,4.0,5.0,No,Sports,Sometimes,1.0,4.0,3.0,2.0,3.0,"Outgoing, Team-oriented, Creative","Meeting New People, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Public Speaking, Communication, Creativity, Soft Skills",Too few time slots.,Tech Meetups
22/23,3.46,2.0,2.0,2.0,3.0,4.0,5.0,No,Sports,Sometimes,1.0,4.0,3.0,2.0,3.0,"Outgoing, Team-oriented, Creative","Meeting New People, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Public Speaking, Communication, Creativity, Soft Skills",Limited flexibility.,Tech Meetups
20/21,3.48,4.0,5.0,3.0,3.0,4.0,4.0,No,"Academic Workshops, Career Development, None",Always,3.0,1.0,5.0,4.0,2.0,"Creative, Logical thinker","Fun and Entertainment, Relaxation/Stress Relief",Weekends,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Public Speaking",Doesn’t ask opinions.,Career Development
22/23,3.98,2.0,5.0,2.0,1.0,5.0,3.0,Yes,"Career Development, None",Always,5.0,1.0,3.0,3.0,3.0,Creative,"Career Development, Relaxation/Stress Relief, Fun and Entertainment",Weekends,Afternoon (12pm-4pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Communication, Creativity",Very engaging.,Social Engaging Activities
20/21,2.06,2.0,4.0,4.0,2.0,1.0,1.0,Yes,"None, Social Service Activities, Tech Meetups",Sometimes,5.0,1.0,2.0,4.0,5.0,"Outgoing, Team-oriented, Logical thinker","Meeting New People, Learning New Skills",Any day,Night (After 8pm),"Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science, Environmental & Social Impact","Public Speaking, Communication",Clear structure.,Hackathon
21/22,2.27,2.0,3.0,2.0,1.0,4.0,1.0,Yes,"Cultural Events, Career Development",Often,1.0,1.0,3.0,1.0,3.0,"Curious and eager to learn, Logical thinker",Meeting New People,Any day,Night (After 8pm),"Designing / Creativity, Web/App Development, Environmental & Social Impact, Health and Wellbeing","Creativity, Public Speaking",Career-focused.,Career Development
20/21,2.43,3.0,2.0,3.0,4.0,3.0,1.0,No,"Social Service Activities, None",Rarely,4.0,3.0,2.0,1.0,4.0,"Curious and eager to learn, Outgoing, Team-oriented",Career Development,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",congrats,Social Engaging Activities
21/22,2.31,3.0,2.0,1.0,1.0,1.0,2.0,Yes,Social Service Activities,Sometimes,2.0,2.0,4.0,1.0,5.0,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Helpful for job prep.,Hackathon
21/22,2.67,3.0,1.0,5.0,2.0,1.0,2.0,No,"Social Service Activities, None",Never,2.0,3.0,3.0,3.0,4.0,"Curious and eager to learn, Outgoing","Fun and Entertainment, Learning New Skills, Meeting New People",Weekdays,Night (After 8pm),"Business / Entrepreneurship, Designing / Creativity, Health and Wellbeing","Leadership, AI",Could add mock tests.,Hackathon
21/22,3.58,5.0,2.0,2.0,1.0,1.0,4.0,No,"Tech Meetups, Academic Workshops, Cultural Events",Rarely,5.0,2.0,4.0,4.0,4.0,"Creative, Curious and eager to learn, Team-oriented","Learning New Skills, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Soft Skills, AI, Public Speaking",Good idea and Best wishes,Hackathon
22/23,2.66,2.0,2.0,2.0,3.0,4.0,5.0,No,Sports,Sometimes,1.0,4.0,3.0,2.0,3.0,"Outgoing, Team-oriented, Creative","Meeting New People, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Public Speaking, Communication, Creativity, Soft Skills",More advanced topics needed.,Hackathon
21/22,3.0,4.0,4.0,4.0,1.0,5.0,3.0,No,"Cultural Events, None, Academic Workshops",Often,4.0,1.0,5.0,3.0,5.0,"Creative, Logical thinker, Outgoing","Relaxation/Stress Relief, Learning New Skills, Meeting New People",Weekdays,Morning (8am-12pm),"Web/App Development, Health and Wellbeing, Environmental & Social Impact","Creativity, Soft Skills, Leadership",Could include volunteering.,Social Engaging Activities
21/22,2.5,1.0,1.0,2.0,5.0,1.0,3.0,Yes,"Cultural Events, Academic Workshops",Often,3.0,1.0,3.0,2.0,2.0,"Outgoing, Curious and eager to learn, Logical thinker","Relaxation/Stress Relief, Meeting New People",Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Communication, Leadership",Add more checkboxes.,Tech Meetups
20/21,2.69,2.0,3.0,5.0,3.0,3.0,4.0,No,"Tech Meetups, Sports",Sometimes,4.0,3.0,5.0,5.0,4.0,"Outgoing, Team-oriented, Curious and eager to learn","Fun and Entertainment, Relaxation/Stress Relief, Meeting New People",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Business / Entrepreneurship, Designing / Creativity","Leadership, Communication, Creativity, Public Speaking",Easy to understand.,Hackathon
22/23,3.51,3.0,1.0,5.0,2.0,1.0,2.0,No,"Social Service Activities, None",Never,2.0,3.0,3.0,3.0,4.0,"Curious and eager to learn, Outgoing","Fun and Entertainment, Learning New Skills, Meeting New People",Weekdays,Night (After 8pm),"Business / Entrepreneurship, Designing / Creativity, Health and Wellbeing","Leadership, AI",Add food/drink events.,Tech Meetups
21/22,4.0,3.0,4.0,5.0,4.0,2.0,2.0,No,"Career Development, Sports, Cultural Events",Sometimes,4.0,5.0,4.0,4.0,3.0,"Outgoing, Team-oriented","Relaxation/Stress Relief, Career Development",Weekdays,Afternoon (12pm-4pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Designing / Creativity, Environmental & Social Impact","Creativity, Public Speaking, Leadership",No suggestion,Hackathon
22/23,3.64,5.0,2.0,2.0,1.0,1.0,4.0,No,"Tech Meetups, Academic Workshops, Cultural Events",Rarely,5.0,2.0,4.0,4.0,4.0,"Creative, Curious and eager to learn, Team-oriented","Learning New Skills, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Soft Skills, AI, Public Speaking",Doesn’t inspire.,Tech Meetups
21/22,2.65,4.0,1.0,3.0,3.0,3.0,1.0,No,"None, Academic Workshops, Social Service Activities",Always,4.0,1.0,2.0,5.0,3.0,"Logical thinker, Team-oriented, Outgoing",Fun and Entertainment,Any day,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Designing / Creativity, Environmental & Social Impact","AI, Creativity",Congratulations,Hackathon
22/23,3.5,2.0,3.0,2.0,5.0,4.0,5.0,Yes,"Career Development, None, Sports",Rarely,2.0,4.0,5.0,4.0,4.0,Creative,"Relaxation/Stress Relief, Meeting New People",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Health and Wellbeing, Business / Entrepreneurship, Web/App Development","Communication, Leadership, Public Speaking, Creativity",Add group projects.,Career Development
21/22,3.33,1.0,4.0,2.0,3.0,3.0,4.0,No,Tech Meetups,Rarely,5.0,5.0,2.0,3.0,5.0,"Outgoing, Logical thinker","Career Development, Fun and Entertainment, Relaxation/Stress Relief",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Public Speaking / Soft Skill","Leadership, Creativity, Communication",No suggestion,Career Development
20/21,2.18,4.0,5.0,4.0,3.0,1.0,3.0,Yes,"Tech Meetups, Cultural Events",Often,1.0,3.0,5.0,3.0,1.0,"Curious and eager to learn, Creative",Career Development,Weekdays,Afternoon (12pm-4pm),"Designing / Creativity, Health and Wellbeing, Artificial Intelligence / Data Science, Environmental & Social Impact","Soft Skills, Communication, Creativity",More career options.,Hackathon
21/22,2.86,3.0,1.0,4.0,3.0,1.0,2.0,Yes,"Tech Meetups, Academic Workshops",Sometimes,3.0,1.0,1.0,2.0,5.0,"Curious and eager to learn, Logical thinker","Learning New Skills, Relaxation/Stress Relief, Fun and Entertainment",Weekdays,Night (After 8pm),"Health and Wellbeing, Environmental & Social Impact","Public Speaking, Soft Skills",Doesn’t cover student needs.,Social Engaging Activities
21/22,3.11,4.0,5.0,4.0,3.0,1.0,3.0,Yes,"Tech Meetups, Cultural Events",Often,1.0,3.0,5.0,3.0,1.0,"Curious and eager to learn, Creative",Career Development,Weekdays,Afternoon (12pm-4pm),"Designing / Creativity, Health and Wellbeing, Artificial Intelligence / Data Science, Environmental & Social Impact","Soft Skills, Communication, Creativity",Doesn’t allow free answers.,Hackathon
22/23,3.4,3.0,1.0,4.0,2.0,2.0,3.0,No,"Social Service Activities, None",Rarely,3.0,2.0,3.0,1.0,4.0,"Curious and eager to learn, Outgoing, Team-oriented",Career Development,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",Too rigid.,Tech Meetups
22/23,2.92,3.0,1.0,5.0,2.0,1.0,2.0,No,"Social Service Activities, None",Never,2.0,3.0,3.0,3.0,4.0,"Curious and eager to learn, Outgoing","Fun and Entertainment, Learning New Skills, Meeting New People",Weekdays,Night (After 8pm),"Business / Entrepreneurship, Designing / Creativity, Health and Wellbeing","Leadership, AI",Limited categories.,Hackathon
20/21,2.4,4.0,4.0,4.0,1.0,5.0,3.0,No,"Cultural Events, None, Academic Workshops",Often,4.0,1.0,5.0,3.0,5.0,"Creative, Logical thinker, Outgoing","Relaxation/Stress Relief, Learning New Skills, Meeting New People",Weekdays,Morning (8am-12pm),"Web/App Development, Health and Wellbeing, Environmental & Social Impact","Creativity, Soft Skills, Leadership",Not inclusive.,Career Development
21/22,3.67,1.0,5.0,1.0,5.0,5.0,4.0,Yes,Social Service Activities,Often,5.0,5.0,4.0,2.0,3.0,"Creative, Curious and eager to learn",Career Development,Any day,Morning (8am-12pm),"Business / Entrepreneurship, Health and Wellbeing, Artificial Intelligence / Data Science","Soft Skills, Creativity, Communication, Leadership",Smart question flow.,Hackathon
22/23,2.21,4.0,1.0,4.0,3.0,3.0,3.0,Yes,"Tech Meetups, Academic Workshops, Sports",Sometimes,3.0,5.0,3.0,5.0,2.0,"Curious and eager to learn, Logical thinker",Relaxation/Stress Relief,Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Creativity, Leadership",Waiting to see the out,Hackathon
20/21,2.96,4.0,5.0,4.0,3.0,1.0,3.0,Yes,"Tech Meetups, Cultural Events",Often,1.0,3.0,5.0,3.0,1.0,"Curious and eager to learn, Creative",Career Development,Weekdays,Afternoon (12pm-4pm),"Designing / Creativity, Health and Wellbeing, Artificial Intelligence / Data Science, Environmental & Social Impact","Soft Skills, Communication, Creativity",No suggestion,Hackathon
20/21,3.44,2.0,5.0,1.0,1.0,1.0,2.0,Yes,"Sports, Tech Meetups",Sometimes,2.0,1.0,5.0,4.0,2.0,"Creative, Logical thinker","Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Evening (4pm-8pm),"Health and Wellbeing, Designing / Creativity","Soft Skills, Communication",Smart question flow.,Hackathon
22/23,3.42,3.0,2.0,1.0,1.0,1.0,2.0,Yes,Social Service Activities,Sometimes,2.0,2.0,4.0,1.0,5.0,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Nice categories.,Hackathon
21/22,3.6,2.0,3.0,2.0,5.0,4.0,5.0,Yes,"Career Development, None, Sports",Rarely,2.0,4.0,5.0,4.0,4.0,Creative,"Relaxation/Stress Relief, Meeting New People",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Health and Wellbeing, Business / Entrepreneurship, Web/App Development","Communication, Leadership, Public Speaking, Creativity",Covers main topics.,Hackathon
21/22,3.29,3.0,1.0,4.0,2.0,2.0,3.0,No,"Social Service Activities, None",Rarely,3.0,2.0,3.0,1.0,4.0,"Curious and eager to learn, Outgoing, Team-oriented",Career Development,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",Add art/music events.,Tech Meetups
20/21,3.05,2.0,4.0,4.0,2.0,1.0,1.0,Yes,"None, Social Service Activities, Tech Meetups",Sometimes,5.0,1.0,2.0,4.0,5.0,"Outgoing, Team-oriented, Logical thinker","Meeting New People, Learning New Skills",Any day,Night (After 8pm),"Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science, Environmental & Social Impact","Public Speaking, Communication",Need open suggestions box.,Tech Meetups
21/22,2.05,3.0,1.0,4.0,3.0,1.0,2.0,Yes,"Tech Meetups, Academic Workshops",Sometimes,3.0,1.0,1.0,2.0,5.0,"Curious and eager to learn, Logical thinker","Learning New Skills, Relaxation/Stress Relief, Fun and Entertainment",Weekdays,Night (After 8pm),"Health and Wellbeing, Environmental & Social Impact","Public Speaking, Soft Skills",Include field trips.,Career Development
21/22,2.26,4.0,4.0,4.0,1.0,5.0,3.0,No,"Cultural Events, None, Academic Workshops",Often,4.0,1.0,5.0,3.0,5.0,"Creative, Logical thinker, Outgoing","Relaxation/Stress Relief, Learning New Skills, Meeting New People",Weekdays,Morning (8am-12pm),"Web/App Development, Health and Wellbeing, Environmental & Social Impact","Creativity, Soft Skills, Leadership",Add mental health activities.,Career Development
22/23,2.94,3.0,4.0,5.0,4.0,2.0,2.0,No,"Career Development, Sports, Cultural Events",Sometimes,4.0,5.0,4.0,4.0,3.0,"Outgoing, Team-oriented","Relaxation/Stress Relief, Career Development",Weekdays,Afternoon (12pm-4pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Designing / Creativity, Environmental & Social Impact","Creativity, Public Speaking, Leadership",Could include competitions.,Hackathon
21/22,2.04,3.0,4.0,5.0,4.0,2.0,2.0,No,"Career Development, Sports, Cultural Events",Sometimes,4.0,5.0,4.0,4.0,3.0,"Outgoing, Team-oriented","Relaxation/Stress Relief, Career Development",Weekdays,Afternoon (12pm-4pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Designing / Creativity, Environmental & Social Impact","Creativity, Public Speaking, Leadership",No creativity.,Hackathon
20/21,3.29,1.0,1.0,2.0,5.0,1.0,3.0,Yes,"Cultural Events, Academic Workshops",Often,3.0,1.0,3.0,2.0,2.0,"Outgoing, Curious and eager to learn, Logical thinker","Relaxation/Stress Relief, Meeting New People",Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Communication, Leadership",No suggestion,Career Development
22/23,2.72,4.0,1.0,4.0,3.0,3.0,3.0,Yes,"Tech Meetups, Academic Workshops, Sports",Sometimes,3.0,5.0,3.0,5.0,2.0,"Curious and eager to learn, Logical thinker",Relaxation/Stress Relief,Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Creativity, Leadership",Quick to complete.,Career Development
21/22,2.56,3.0,1.0,4.0,3.0,1.0,2.0,Yes,"Tech Meetups, Academic Workshops",Sometimes,3.0,1.0,1.0,2.0,5.0,"Curious and eager to learn, Logical thinker","Learning New Skills, Relaxation/Stress Relief, Fun and Entertainment",Weekdays,Night (After 8pm),"Health and Wellbeing, Environmental & Social Impact","Public Speaking, Soft Skills",Missing flexibility.,Social Engaging Activities
21/22,2.47,2.0,5.0,1.0,1.0,1.0,2.0,Yes,"Sports, Tech Meetups",Sometimes,2.0,1.0,5.0,4.0,2.0,"Creative, Logical thinker","Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Evening (4pm-8pm),"Health and Wellbeing, Designing / Creativity","Soft Skills, Communication",Lacks student voice.,Tech Meetups
22/23,2.66,2.0,2.0,2.0,3.0,4.0,5.0,No,Sports,Sometimes,1.0,4.0,3.0,2.0,3.0,"Outgoing, Team-oriented, Creative","Meeting New People, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Public Speaking, Communication, Creativity, Soft Skills",Easy navigation.,Hackathon
22/23,3.64,5.0,2.0,2.0,1.0,1.0,4.0,No,"Tech Meetups, Academic Workshops, Cultural Events",Rarely,5.0,2.0,4.0,4.0,4.0,"Creative, Curious and eager to learn, Team-oriented","Learning New Skills, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Soft Skills, AI, Public Speaking",Looking forward,Hackathon
22/23,3.46,2.0,2.0,2.0,3.0,4.0,5.0,No,Sports,Sometimes,1.0,4.0,3.0,2.0,3.0,"Outgoing, Team-oriented, Creative","Meeting New People, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Public Speaking, Communication, Creativity, Soft Skills",No suggestion,Hackathon
21/22,2.31,3.0,2.0,1.0,1.0,1.0,2.0,Yes,Social Service Activities,Sometimes,2.0,2.0,4.0,1.0,5.0,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Clear questions.,Tech Meetups
