Date and Time,AcademicYear,Department,GPA,Interest_AcademicWorkshop,Interest_CareerDev,Interest_SocialActivities,Interest_Sports,Interest_CulturalPrograms,Interest_TechMeetups,ParticipatedBefore,EventTypesAttended,EventAttendanceFrequency,Hypo_TechWorkshop,Hypo_ResumeWorkshop,Hypo_CulturalNight,Hypo_SportsTournament,Hypo_SocialCampaign,Personality,Motivation,FreeDays,PreferredTime,InterestTopics,SkillsToDevelop,Feedback,Recommended Event
7/20/2025 14:52,20/21,Department of Computing,3.55,4,2,3,4,3,4,Yes,"Tech Meetups, Academic Workshops, Sports",Sometimes,3,5,3,5,2,"Curious and eager to learn, Logical thinker",Relaxation/Stress Relief,Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Creativity, Leadership",,Hackathon
7/20/2025 15:04,20/21,Department of Computing,2.44,2,5,2,2,3,4,Yes,"Cultural Events, Career Development",Often,1,1,3,1,3,"Curious and eager to learn, Logical thinker",Meeting New People,Any day,Night (After 8pm),"Designing / Creativity, Web/App Development, Environmental & Social Impact, Health and Wellbeing","Creativity, Public Speaking",Too short.,Career Development
7/20/2025 15:15,20/21,Department of Computing,3.28,3,5,3,5,1,4,Yes,"Academic Workshops, Career Development",Sometimes,3,4,3,3,3,Logical thinker,Meeting New People,Weekdays,Evening (4pm-8pm),"Health and Wellbeing, Designing / Creativity, Public Speaking / Soft Skill, Web/App Development","Soft Skills, Communication, Creativity, AI",Too straightforward.,Career Development
7/20/2025 16:20,21/22,Department of Computing,3.8,5,5,5,1,3,5,Yes,"Tech Meetups, Cultural Events, Career Development",Sometimes,5,2,4,1,4,"Creative, Logical thinker","Fun and Entertainment, Career Development, Learning New Skills",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Web/App Development","Communication, Creativity, Public Speaking",Needed more Q&A.,Hackathon
7/20/2025 17:12,20/21,Department of Computing,3.91,5,2,5,2,2,3,Yes,"Academic Workshops, Sports, Cultural Events",Sometimes,5,3,2,1,1,Outgoing,"Meeting New People, Fun and Entertainment",Weekdays,Afternoon (12pm-4pm),"Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","AI, Communication, Public Speaking, Soft Skills",Lacked detail.,Hackathon
7/20/2025 17:32,21/22,Department of Computing,3.54,2,1,2,4,3,5,No,Sports,Sometimes,3,1,1,3,4,"Team-oriented, Outgoing","Relaxation/Stress Relief, Learning New Skills",Weekends,Night (After 8pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Public Speaking / Soft Skill, Web/App Development","Soft Skills, Leadership, AI",Useful for academics.,Tech Meetups
7/20/2025 17:43,20/21,Department of Computing,2.36,5,5,5,1,3,5,Yes,"Tech Meetups, Cultural Events, Career Development",Sometimes,5,2,4,1,4,"Creative, Logical thinker","Fun and Entertainment, Career Development, Learning New Skills",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Web/App Development","Communication, Creativity, Public Speaking",best regarts ,Tech Meetups
7/20/2025 18:14,22/23,Department of Computing,2.69,4,3,2,1,4,3,No,Sports,Often,3,3,4,1,2,Curious and eager to learn,"Career Development, Fun and Entertainment, Meeting New People",Any day,Night (After 8pm),"Designing / Creativity, Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","Public Speaking, Communication",Questions too simple.,Hackathon
7/20/2025 18:20,21/22,Department of Computing,3.79,5,1,5,5,2,3,No,"None, Career Development, Cultural Events",Sometimes,1,2,3,2,2,"Creative, Outgoing, Logical thinker","Career Development, Relaxation/Stress Relief, Fun and Entertainment",Any day,Night (After 8pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Leadership, Soft Skills, Public Speaking, AI",Need more real-world cases.,Social Engaging Activities
7/20/2025 18:41,20/21,Department of Computing,2.58,4,2,2,4,5,5,No,"Career Development, Tech Meetups",Always,4,4,2,1,5,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",Not student-centered.,Career Development
7/20/2025 18:53,21/22,Department of Computing,2.55,3,1,5,2,1,2,No,"Social Service Activities, None",Never,2,3,3,3,4,"Curious and eager to learn, Outgoing","Fun and Entertainment, Learning New Skills, Meeting New People",Weekdays,Night (After 8pm),"Business / Entrepreneurship, Designing / Creativity, Health and Wellbeing","Leadership, AI",it will help many students ,Career Development
7/20/2025 19:16,20/21,Department of Computing,2.12,2,3,2,5,4,5,Yes,"Career Development, None, Sports",Rarely,2,4,5,4,4,Creative,"Relaxation/Stress Relief, Meeting New People",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Health and Wellbeing, Business / Entrepreneurship, Web/App Development","Communication, Leadership, Public Speaking, Creativity",Doesn’t cover hobbies.,leardership Programs
7/20/2025 19:57,20/21,Department of Computing,2.75,5,1,5,5,2,3,No,"None, Career Development, Cultural Events",Sometimes,1,2,3,2,2,"Creative, Outgoing, Logical thinker","Career Development, Relaxation/Stress Relief, Fun and Entertainment",Any day,Night (After 8pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Leadership, Soft Skills, Public Speaking, AI",Doesn’t ask about interests.,Social Engaging Activities
7/20/2025 20:09,20/21,Department of Computing,2.76,3,3,5,2,2,2,No,Tech Meetups,Never,3,4,5,4,5,"Creative, Team-oriented, Curious and eager to learn","Learning New Skills, Career Development, Fun and Entertainment",Any day,Evening (4pm-8pm),"Health and Wellbeing, Artificial Intelligence / Data Science","Creativity, Communication",Boring design.,Hackathon
7/20/2025 20:54,20/21,Department of Computing,3.54,2,3,2,1,4,1,Yes,"Cultural Events, Career Development",Often,1,1,3,1,3,"Curious and eager to learn, Logical thinker",Meeting New People,Any day,Night (After 8pm),"Designing / Creativity, Web/App Development, Environmental & Social Impact, Health and Wellbeing","Creativity, Public Speaking",Too formal.,Social Engaging Activities
7/20/2025 21:41,20/21,Department of Computing,3.3,5,2,2,1,1,4,No,"Tech Meetups, Academic Workshops, Cultural Events",Rarely,5,2,4,4,4,"Creative, Curious and eager to learn, Team-oriented","Learning New Skills, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Soft Skills, AI, Public Speaking",,Hackathon
7/20/2025 22:02,21/22,Department of Computing,2.5,3,2,1,1,1,2,Yes,Social Service Activities,Sometimes,2,2,4,1,5,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Doesn’t match interests.,Tech Meetups
7/20/2025 22:34,21/22,Department of Computing,3.9,1,2,4,4,1,4,Yes,"Cultural Events, Career Development, Sports",Sometimes,3,1,3,3,1,"Creative, Outgoing","Fun and Entertainment, Meeting New People",Weekends,Morning (8am-12pm),"Artificial Intelligence / Data Science, Environmental & Social Impact, Web/App Development, Public Speaking / Soft Skill","Soft Skills, Creativity",Doesn’t cover cultural side.,Hackathon
7/20/2025 22:44,20/21,Department of Computing,2.99,3,1,4,2,2,3,No,"Social Service Activities, None",Rarely,3,2,3,1,4,"Curious and eager to learn, Outgoing, Team-oriented",Career Development,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",Too academic.,Career Development
7/20/2025 23:03,22/23,Department of Computing,3.45,4,5,3,3,4,4,No,"Academic Workshops, Career Development, None",Always,3,1,5,4,2,"Creative, Logical thinker","Fun and Entertainment, Relaxation/Stress Relief",Weekends,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Public Speaking",,Hackathon
7/20/2025 23:04,21/22,Department of Computing,2.49,3,4,5,4,2,2,No,"Career Development, Sports, Cultural Events",Sometimes,4,5,4,4,3,"Outgoing, Team-oriented","Relaxation/Stress Relief, Career Development",Weekdays,Afternoon (12pm-4pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Designing / Creativity, Environmental & Social Impact","Creativity, Public Speaking, Leadership",i also need it... waiting,Hackathon
7/20/2025 23:25,20/21,Department of Computing,3.99,3,4,5,4,2,2,No,"Career Development, Sports, Cultural Events",Sometimes,4,5,4,4,3,"Outgoing, Team-oriented","Relaxation/Stress Relief, Career Development",Weekdays,Afternoon (12pm-4pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Designing / Creativity, Environmental & Social Impact","Creativity, Public Speaking, Leadership",,Hackathon
7/21/2025 0:52,20/21,Department of Computing,2.09,3,3,3,4,1,1,Yes,None,Sometimes,2,3,3,4,5,"Outgoing, Curious and eager to learn","Meeting New People, Learning New Skills",Weekends,Night (After 8pm),"Business / Entrepreneurship, Public Speaking / Soft Skill, Designing / Creativity","Communication, Soft Skills, AI",Misses student creativity.,Career Development
7/21/2025 10:15,21/22,Department of Computing,3.29,2,2,2,3,4,5,No,Sports,Sometimes,1,4,3,2,3,"Outgoing, Team-oriented, Creative","Meeting New People, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Public Speaking, Communication, Creativity, Soft Skills",Too few time slots.,Tech Meetups
7/21/2025 10:23,22/23,Department of Computing,3.46,2,2,2,3,4,5,No,Sports,Sometimes,1,4,3,2,3,"Outgoing, Team-oriented, Creative","Meeting New People, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Public Speaking, Communication, Creativity, Soft Skills",Limited flexibility.,Tech Meetups
7/21/2025 10:23,20/21,Department of Computing,3.48,4,5,3,3,4,4,No,"Academic Workshops, Career Development, None",Always,3,1,5,4,2,"Creative, Logical thinker","Fun and Entertainment, Relaxation/Stress Relief",Weekends,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Public Speaking",Doesn’t ask opinions.,Career Development
7/21/2025 11:08,22/23,Department of Computing,3.98,2,5,2,1,5,3,Yes,"Career Development, None",Always,5,1,3,3,3,Creative,"Career Development, Relaxation/Stress Relief, Fun and Entertainment",Weekends,Afternoon (12pm-4pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Communication, Creativity",Very engaging.,Social Engaging Activities
7/21/2025 11:36,20/21,Department of Computing,2.06,2,4,4,2,1,1,Yes,"None, Social Service Activities, Tech Meetups",Sometimes,5,1,2,4,5,"Outgoing, Team-oriented, Logical thinker","Meeting New People, Learning New Skills",Any day,Night (After 8pm),"Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science, Environmental & Social Impact","Public Speaking, Communication",Clear structure.,Hackathon
7/21/2025 13:56,21/22,Department of Computing,2.27,2,3,2,1,4,1,Yes,"Cultural Events, Career Development",Often,1,1,3,1,3,"Curious and eager to learn, Logical thinker",Meeting New People,Any day,Night (After 8pm),"Designing / Creativity, Web/App Development, Environmental & Social Impact, Health and Wellbeing","Creativity, Public Speaking",Career-focused.,Career Development
7/21/2025 15:09,20/21,Department of Computing,2.43,3,2,3,4,3,1,No,"Social Service Activities, None",Rarely,4,3,2,1,4,"Curious and eager to learn, Outgoing, Team-oriented",Career Development,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",congrats,Social Engaging Activities
7/21/2025 15:35,21/22,Department of Computing,2.31,3,2,1,1,1,2,Yes,Social Service Activities,Sometimes,2,2,4,1,5,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Helpful for job prep.,Hackathon
7/21/2025 17:59,21/22,Department of Computing,2.67,3,1,5,2,1,2,No,"Social Service Activities, None",Never,2,3,3,3,4,"Curious and eager to learn, Outgoing","Fun and Entertainment, Learning New Skills, Meeting New People",Weekdays,Night (After 8pm),"Business / Entrepreneurship, Designing / Creativity, Health and Wellbeing","Leadership, AI",Could add mock tests.,Hackathon
7/21/2025 18:06,21/22,Department of Computing,3.58,5,2,2,1,1,4,No,"Tech Meetups, Academic Workshops, Cultural Events",Rarely,5,2,4,4,4,"Creative, Curious and eager to learn, Team-oriented","Learning New Skills, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Soft Skills, AI, Public Speaking",Good idea and Best wishes,Hackathon
7/21/2025 18:13,22/23,Department of Computing,2.66,2,2,2,3,4,5,No,Sports,Sometimes,1,4,3,2,3,"Outgoing, Team-oriented, Creative","Meeting New People, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Public Speaking, Communication, Creativity, Soft Skills",More advanced topics needed.,Hackathon
7/21/2025 19:35,21/22,Department of Computing,3,4,4,4,1,5,3,No,"Cultural Events, None, Academic Workshops",Often,4,1,5,3,5,"Creative, Logical thinker, Outgoing","Relaxation/Stress Relief, Learning New Skills, Meeting New People",Weekdays,Morning (8am-12pm),"Web/App Development, Health and Wellbeing, Environmental & Social Impact","Creativity, Soft Skills, Leadership",Could include volunteering.,Social Engaging Activities
7/21/2025 19:52,21/22,Department of Computing,2.5,1,1,2,5,1,3,Yes,"Cultural Events, Academic Workshops",Often,3,1,3,2,2,"Outgoing, Curious and eager to learn, Logical thinker","Relaxation/Stress Relief, Meeting New People",Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Communication, Leadership",Add more checkboxes.,Tech Meetups
7/21/2025 19:56,20/21,Department of Computing,2.69,2,3,5,3,3,4,No,"Tech Meetups, Sports",Sometimes,4,3,5,5,4,"Outgoing, Team-oriented, Curious and eager to learn","Fun and Entertainment, Relaxation/Stress Relief, Meeting New People",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Business / Entrepreneurship, Designing / Creativity","Leadership, Communication, Creativity, Public Speaking",Easy to understand.,Hackathon
7/21/2025 20:13,22/23,Department of Computing,3.51,3,1,5,2,1,2,No,"Social Service Activities, None",Never,2,3,3,3,4,"Curious and eager to learn, Outgoing","Fun and Entertainment, Learning New Skills, Meeting New People",Weekdays,Night (After 8pm),"Business / Entrepreneurship, Designing / Creativity, Health and Wellbeing","Leadership, AI",Add food/drink events.,Tech Meetups
7/21/2025 20:20,21/22,Department of Computing,4,3,4,5,4,2,2,No,"Career Development, Sports, Cultural Events",Sometimes,4,5,4,4,3,"Outgoing, Team-oriented","Relaxation/Stress Relief, Career Development",Weekdays,Afternoon (12pm-4pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Designing / Creativity, Environmental & Social Impact","Creativity, Public Speaking, Leadership",,Hackathon
7/21/2025 20:42,22/23,Department of Computing,3.12,3,3,3,4,1,1,Yes,None,Sometimes,2,3,3,4,5,"Outgoing, Curious and eager to learn","Meeting New People, Learning New Skills",Weekends,Night (After 8pm),"Business / Entrepreneurship, Public Speaking / Soft Skill, Designing / Creativity","Communication, Soft Skills, AI",Clear questions.,Hackathon
7/21/2025 22:45,22/23,Department of Computing,3.64,5,2,2,1,1,4,No,"Tech Meetups, Academic Workshops, Cultural Events",Rarely,5,2,4,4,4,"Creative, Curious and eager to learn, Team-oriented","Learning New Skills, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Soft Skills, AI, Public Speaking",Doesn’t inspire.,Tech Meetups
7/21/2025 22:52,21/22,Department of Computing,2.65,4,1,3,3,3,1,No,"None, Academic Workshops, Social Service Activities",Always,4,1,2,5,3,"Logical thinker, Team-oriented, Outgoing",Fun and Entertainment,Any day,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Designing / Creativity, Environmental & Social Impact","AI, Creativity",Congratulations,Hackathon
7/21/2025 23:25,22/23,Department of Computing,3.5,2,3,2,5,4,5,Yes,"Career Development, None, Sports",Rarely,2,4,5,4,4,Creative,"Relaxation/Stress Relief, Meeting New People",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Health and Wellbeing, Business / Entrepreneurship, Web/App Development","Communication, Leadership, Public Speaking, Creativity",Add group projects.,Career Development
7/22/2025 0:51,21/22,Department of Computing,3.33,1,4,2,3,3,4,No,Tech Meetups,Rarely,5,5,2,3,5,"Outgoing, Logical thinker","Career Development, Fun and Entertainment, Relaxation/Stress Relief",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Public Speaking / Soft Skill","Leadership, Creativity, Communication",,Career Development
7/22/2025 0:54,20/21,Department of Computing,2.18,4,5,4,3,1,3,Yes,"Tech Meetups, Cultural Events",Often,1,3,5,3,1,"Curious and eager to learn, Creative",Career Development,Weekdays,Afternoon (12pm-4pm),"Designing / Creativity, Health and Wellbeing, Artificial Intelligence / Data Science, Environmental & Social Impact","Soft Skills, Communication, Creativity",More career options.,Hackathon
7/22/2025 10:27,21/22,Department of Computing,2.86,3,1,4,3,1,2,Yes,"Tech Meetups, Academic Workshops",Sometimes,3,1,1,2,5,"Curious and eager to learn, Logical thinker","Learning New Skills, Relaxation/Stress Relief, Fun and Entertainment",Weekdays,Night (After 8pm),"Health and Wellbeing, Environmental & Social Impact","Public Speaking, Soft Skills",Doesn’t cover student needs.,Social Engaging Activities
7/22/2025 10:50,21/22,Department of Computing,3.11,4,5,4,3,1,3,Yes,"Tech Meetups, Cultural Events",Often,1,3,5,3,1,"Curious and eager to learn, Creative",Career Development,Weekdays,Afternoon (12pm-4pm),"Designing / Creativity, Health and Wellbeing, Artificial Intelligence / Data Science, Environmental & Social Impact","Soft Skills, Communication, Creativity",Doesn’t allow free answers.,Hackathon
7/22/2025 11:22,22/23,Department of Computing,3.4,3,1,4,2,2,3,No,"Social Service Activities, None",Rarely,3,2,3,1,4,"Curious and eager to learn, Outgoing, Team-oriented",Career Development,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",Too rigid.,Tech Meetups
7/22/2025 11:46,22/23,Department of Computing,2.92,3,1,5,2,1,2,No,"Social Service Activities, None",Never,2,3,3,3,4,"Curious and eager to learn, Outgoing","Fun and Entertainment, Learning New Skills, Meeting New People",Weekdays,Night (After 8pm),"Business / Entrepreneurship, Designing / Creativity, Health and Wellbeing","Leadership, AI",Limited categories.,Hackathon
7/22/2025 12:01,20/21,Department of Computing,2.4,4,4,4,1,5,3,No,"Cultural Events, None, Academic Workshops",Often,4,1,5,3,5,"Creative, Logical thinker, Outgoing","Relaxation/Stress Relief, Learning New Skills, Meeting New People",Weekdays,Morning (8am-12pm),"Web/App Development, Health and Wellbeing, Environmental & Social Impact","Creativity, Soft Skills, Leadership",Not inclusive.,Career Development
7/22/2025 12:34,21/22,Department of Computing,3.67,1,5,1,5,5,4,Yes,Social Service Activities,Often,5,5,4,2,3,"Creative, Curious and eager to learn",Career Development,Any day,Morning (8am-12pm),"Business / Entrepreneurship, Health and Wellbeing, Artificial Intelligence / Data Science","Soft Skills, Creativity, Communication, Leadership",Smart question flow.,Hackathon
7/22/2025 12:39,22/23,Department of Computing,2.21,4,1,4,3,3,3,Yes,"Tech Meetups, Academic Workshops, Sports",Sometimes,3,5,3,5,2,"Curious and eager to learn, Logical thinker",Relaxation/Stress Relief,Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Creativity, Leadership",Waiting to see the out,Hackathon
7/22/2025 12:55,20/21,Department of Computing,2.96,4,5,4,3,1,3,Yes,"Tech Meetups, Cultural Events",Often,1,3,5,3,1,"Curious and eager to learn, Creative",Career Development,Weekdays,Afternoon (12pm-4pm),"Designing / Creativity, Health and Wellbeing, Artificial Intelligence / Data Science, Environmental & Social Impact","Soft Skills, Communication, Creativity",,Hackathon
7/22/2025 13:24,20/21,Department of Computing,3.44,2,5,1,1,1,2,Yes,"Sports, Tech Meetups",Sometimes,2,1,5,4,2,"Creative, Logical thinker","Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Evening (4pm-8pm),"Health and Wellbeing, Designing / Creativity","Soft Skills, Communication",Smart question flow.,Hackathon
7/22/2025 13:25,22/23,Department of Computing,3.42,3,2,1,1,1,2,Yes,Social Service Activities,Sometimes,2,2,4,1,5,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Nice categories.,Hackathon
7/22/2025 14:47,21/22,Department of Computing,3.6,2,3,2,5,4,5,Yes,"Career Development, None, Sports",Rarely,2,4,5,4,4,Creative,"Relaxation/Stress Relief, Meeting New People",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Health and Wellbeing, Business / Entrepreneurship, Web/App Development","Communication, Leadership, Public Speaking, Creativity",Covers main topics.,Hackathon
7/22/2025 16:18,21/22,Department of Computing,3.29,3,1,4,2,2,3,No,"Social Service Activities, None",Rarely,3,2,3,1,4,"Curious and eager to learn, Outgoing, Team-oriented",Career Development,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",Add art/music events.,Tech Meetups
7/22/2025 16:33,20/21,Department of Computing,3.05,2,4,4,2,1,1,Yes,"None, Social Service Activities, Tech Meetups",Sometimes,5,1,2,4,5,"Outgoing, Team-oriented, Logical thinker","Meeting New People, Learning New Skills",Any day,Night (After 8pm),"Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science, Environmental & Social Impact","Public Speaking, Communication",Need open suggestions box.,Tech Meetups
7/22/2025 17:10,21/22,Department of Computing,2.05,3,1,4,3,1,2,Yes,"Tech Meetups, Academic Workshops",Sometimes,3,1,1,2,5,"Curious and eager to learn, Logical thinker","Learning New Skills, Relaxation/Stress Relief, Fun and Entertainment",Weekdays,Night (After 8pm),"Health and Wellbeing, Environmental & Social Impact","Public Speaking, Soft Skills",Include field trips.,Career Development
7/22/2025 17:23,20/21,Department of Computing,2.73,3,3,3,4,1,1,Yes,None,Sometimes,2,3,3,4,5,"Outgoing, Curious and eager to learn","Meeting New People, Learning New Skills",Weekends,Night (After 8pm),"Business / Entrepreneurship, Public Speaking / Soft Skill, Designing / Creativity","Communication, Soft Skills, AI",Student-friendly.,Tech Meetups
7/22/2025 17:42,21/22,Department of Computing,2.26,4,4,4,1,5,3,No,"Cultural Events, None, Academic Workshops",Often,4,1,5,3,5,"Creative, Logical thinker, Outgoing","Relaxation/Stress Relief, Learning New Skills, Meeting New People",Weekdays,Morning (8am-12pm),"Web/App Development, Health and Wellbeing, Environmental & Social Impact","Creativity, Soft Skills, Leadership",Add mental health activities.,Career Development
7/22/2025 18:46,22/23,Department of Computing,2.94,3,4,5,4,2,2,No,"Career Development, Sports, Cultural Events",Sometimes,4,5,4,4,3,"Outgoing, Team-oriented","Relaxation/Stress Relief, Career Development",Weekdays,Afternoon (12pm-4pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Designing / Creativity, Environmental & Social Impact","Creativity, Public Speaking, Leadership",Could include competitions.,Hackathon
7/22/2025 18:54,21/22,Department of Computing,2.04,3,4,5,4,2,2,No,"Career Development, Sports, Cultural Events",Sometimes,4,5,4,4,3,"Outgoing, Team-oriented","Relaxation/Stress Relief, Career Development",Weekdays,Afternoon (12pm-4pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Designing / Creativity, Environmental & Social Impact","Creativity, Public Speaking, Leadership",No creativity.,Hackathon
7/22/2025 20:20,20/21,Department of Computing,3.29,1,1,2,5,1,3,Yes,"Cultural Events, Academic Workshops",Often,3,1,3,2,2,"Outgoing, Curious and eager to learn, Logical thinker","Relaxation/Stress Relief, Meeting New People",Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Communication, Leadership",,Career Development
7/22/2025 20:37,22/23,Department of Computing,2.72,4,1,4,3,3,3,Yes,"Tech Meetups, Academic Workshops, Sports",Sometimes,3,5,3,5,2,"Curious and eager to learn, Logical thinker",Relaxation/Stress Relief,Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Creativity, Leadership",Quick to complete.,Career Development
7/22/2025 20:52,21/22,Department of Computing,2.56,3,1,4,3,1,2,Yes,"Tech Meetups, Academic Workshops",Sometimes,3,1,1,2,5,"Curious and eager to learn, Logical thinker","Learning New Skills, Relaxation/Stress Relief, Fun and Entertainment",Weekdays,Night (After 8pm),"Health and Wellbeing, Environmental & Social Impact","Public Speaking, Soft Skills",Missing flexibility.,Social Engaging Activities
7/22/2025 20:58,22/23,Department of Computing,2.12,3,3,3,4,1,1,Yes,None,Sometimes,2,3,3,4,5,"Outgoing, Curious and eager to learn","Meeting New People, Learning New Skills",Weekends,Night (After 8pm),"Business / Entrepreneurship, Public Speaking / Soft Skill, Designing / Creativity","Communication, Soft Skills, AI",,Hackathon
7/22/2025 21:48,21/22,Department of Computing,2.47,2,5,1,1,1,2,Yes,"Sports, Tech Meetups",Sometimes,2,1,5,4,2,"Creative, Logical thinker","Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Evening (4pm-8pm),"Health and Wellbeing, Designing / Creativity","Soft Skills, Communication",Lacks student voice.,Tech Meetups
7/22/2025 21:56,22/23,Department of Computing,2.66,2,2,2,3,4,5,No,Sports,Sometimes,1,4,3,2,3,"Outgoing, Team-oriented, Creative","Meeting New People, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Public Speaking, Communication, Creativity, Soft Skills",Easy navigation.,Hackathon
7/22/2025 22:42,22/23,Department of Computing,3.64,5,2,2,1,1,4,No,"Tech Meetups, Academic Workshops, Cultural Events",Rarely,5,2,4,4,4,"Creative, Curious and eager to learn, Team-oriented","Learning New Skills, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Soft Skills, AI, Public Speaking",Looking forward,Hackathon
7/22/2025 23:10,22/23,Department of Computing,3.46,2,2,2,3,4,5,No,Sports,Sometimes,1,4,3,2,3,"Outgoing, Team-oriented, Creative","Meeting New People, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Public Speaking, Communication, Creativity, Soft Skills",,Hackathon
7/22/2025 23:10,21/22,Department of Computing,2.31,3,2,1,1,1,2,Yes,Social Service Activities,Sometimes,2,2,4,1,5,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Clear questions.,Tech Meetups
7/22/2025 23:43,22/23,Department of Computing,3.45,4,5,3,3,4,4,No,"Academic Workshops, Career Development, None",Always,3,1,5,4,2,"Creative, Logical thinker","Fun and Entertainment, Relaxation/Stress Relief",Weekends,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Public Speaking",No confusion at all.,Social Engaging Activities
